key,name,price,duration_min,category
haircut,Мужская стрижка,1500,40,Стрижки
buzzcut,Стрижка машинкой,1000,25,Стрижки
kids,Детская стрижка (до 12 лет),1200,30,Стрижки
haircut_styling,Стрижка + укладка,1800,50,Стрижки
beard,Коррекция бороды,1000,25,Борода
shave,Бритьё опасной бритвой,1500,35,Борода
royal_shave,Королевское бритьё (с массажем),2000,45,Борода
combo_hair_beard,Стрижка + Борода,2200,60,Комбо
combo_hair_royal,Стрижка + Королевское бритьё,3000,80,Комбо
combo_full,Стрижка + Борода + Укладка,2800,70,Комбо
combo_father_son,Отец + Сын (2 стрижки),2400,60,Комбо
